"","gene","tissue","prot","mrna"
"805","ENSG00000100345","uterus",3.64908327982884e-05,0.000184400000119902
"809","ENSG00000100360","uterus",3.94725651301448e-06,2.42000000010904e-05
"816","ENSG00000100412","uterus",0.000159712848701929,2.97999999947676e-05
"817","ENSG00000100442","uterus",7.26372022137124e-05,3.86000000291743e-05
"820","ENSG00000100462","uterus",2.74971602698095e-06,4.10000000264586e-05
"822","ENSG00000100504","uterus",2.16080764635052e-05,2.0099999980539e-05
"823","ENSG00000100519","uterus",2.17517470390027e-05,3.30000000092788e-05
"824","ENSG00000100522","uterus",2.85459021645341e-06,1.28000000103784e-05
"826","ENSG00000100567","uterus",0.000102854717099113,7.48000000233443e-05
"829","ENSG00000100577","uterus",1.24583604244052e-05,1.31000000103835e-05
"831","ENSG00000100591","uterus",3.17839156871097e-05,7.75000000880991e-05
"837","ENSG00000100612","uterus",0.000146292783745203,4.76999999955942e-05
"841","ENSG00000100664","uterus",1.50780906855017e-05,7.22999999509674e-05
"844","ENSG00000100714","uterus",4.14209629399627e-05,1.8399999999596e-05
"847","ENSG00000100764","uterus",8.29914730254906e-06,1.05999999935376e-05
"850","ENSG00000100804","uterus",2.56217603645125e-05,4.98000000275529e-05
"853","ENSG00000100823","uterus",0.000188155630941656,0.000110899999961911
"858","ENSG00000100902","uterus",0.000125749303423216,3.04999999756456e-05
"860","ENSG00000100911","uterus",0.000179250099329713,4.60000000337273e-05
"861","ENSG00000100926","uterus",3.25862441419397e-06,1.47999999865405e-05
"862","ENSG00000100934","uterus",7.40312647616318e-06,4.13999999884751e-05
"863","ENSG00000100938","uterus",3.65758106993724e-05,4.6299999998086e-05
"869","ENSG00000100994","uterus",0.000106464172779281,2.6000000001747e-05
"876","ENSG00000101132","uterus",4.91476116559021e-06,3.27000000255786e-05
"879","ENSG00000101150","uterus",3.13822029010391e-05,5.80999999477815e-05
"882","ENSG00000101160","uterus",8.48467721541269e-05,6.57000000665963e-05
"884","ENSG00000101182","uterus",4.81325519234882e-05,8.98000000687922e-05
"889","ENSG00000101220","uterus",2.64773897901535e-06,2.36999999994486e-05
"893","ENSG00000101266","uterus",2.80149653724746e-05,1.90000000020637e-05
"902","ENSG00000101346","uterus",3.30485914244942e-05,1.79999999957183e-05
"903","ENSG00000101347","uterus",1.73870896738412e-05,1.87000000199576e-05
"906","ENSG00000101365","uterus",5.43471844966233e-06,6.27000000244398e-05
"907","ENSG00000101367","uterus",4.57516613564469e-05,5.72000000272603e-05
"909","ENSG00000101413","uterus",4.32318760321679e-05,1.97999999880765e-05
"914","ENSG00000101444","uterus",0.000444704179362998,4.67000000466563e-05
"917","ENSG00000101474","uterus",0.000299048850922153,4.30999999840488e-05
"918","ENSG00000101557","uterus",3.08471415968208e-05,2.36000000016244e-05
"919","ENSG00000101558","uterus",3.49286833459334e-05,8.50000000559186e-05
"923","ENSG00000101843","uterus",1.99686836587626e-05,3.5399999997898e-05
"924","ENSG00000101856","uterus",0.000194081339534499,0.000136899999957763
"927","ENSG00000101940","uterus",3.8278059572738e-06,5.36000000379179e-05
"931","ENSG00000102024","uterus",6.38986205992002e-05,0.000117299999968796
"939","ENSG00000102144","uterus",0.00287882611702296,0.000144399999922323
"941","ENSG00000102172","uterus",2.80429701046256e-05,9.80000000693896e-06
"943","ENSG00000102189","uterus",2.21335944407693e-06,9.30000000955205e-06
"950","ENSG00000102317","uterus",4.72654140813765e-05,0.000148799999928097
